Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-22,2026-07-27,5,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-22&inboundDate=2026-07-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-27,2026-07-30,3,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-27&inboundDate=2026-07-30&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-08,2026-07-15,7,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-08&inboundDate=2026-07-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-06,2026-07-10,4,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-06&inboundDate=2026-07-10&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-17,2026-07-23,6,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-17&inboundDate=2026-07-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-13,2026-07-15,2,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-13&inboundDate=2026-07-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-12,2026-07-15,3,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-12&inboundDate=2026-07-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-23,2026-07-30,7,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-23&inboundDate=2026-07-30&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-28,2026-06-03,6,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-28&inboundDate=2026-06-03&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-23,2026-05-27,4,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-23&inboundDate=2026-05-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-26,2026-05-28,2,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-26&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-25,2026-05-28,3,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-25&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-25,2026-05-27,2,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-25&inboundDate=2026-05-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-23,2026-07-27,4,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-23&inboundDate=2026-07-27&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-07,2026-06-11,4,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-07&inboundDate=2026-06-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-05,2026-06-12,7,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-05&inboundDate=2026-06-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-05,2026-06-11,6,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-05&inboundDate=2026-06-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-08,2026-07-10,2,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-08&inboundDate=2026-07-10&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-07,2026-06-12,5,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-07&inboundDate=2026-06-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-10,2026-07-15,5,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-10&inboundDate=2026-07-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-09,2026-07-15,6,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-09&inboundDate=2026-07-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-02,2026-07-09,7,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-02&inboundDate=2026-07-09&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-06,2026-07-09,3,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-06&inboundDate=2026-07-09&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-05,2026-07-10,5,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-05&inboundDate=2026-07-10&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-07-05,2026-07-09,4,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-07-05&inboundDate=2026-07-09&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-24,2026-07-01,7,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-24&inboundDate=2026-07-01&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-29,2026-07-01,2,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-29&inboundDate=2026-07-01&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-11,2026-06-18,7,89.0,81.4,170.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-11&inboundDate=2026-06-18&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Charleroi,Belgia,Warszawa,2026-06-08,2026-06-15,7,104.0,68.09,172.09,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-06-08&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-05-23,2026-05-28,5,85.13,95.0,180.13,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-05-23&inboundDate=2026-05-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-05-23,2026-05-30,7,85.13,95.0,180.13,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-05-23&inboundDate=2026-05-30&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-18,2026-05-21,3,99.0,81.4,180.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-18&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-18,2026-05-23,5,99.0,81.4,180.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-18&inboundDate=2026-05-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-16,2026-05-21,5,99.0,81.4,180.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-16&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-16,2026-05-20,4,99.0,81.4,180.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-16&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-16,2026-05-23,7,99.0,81.4,180.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-16&inboundDate=2026-05-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-18,2026-05-20,2,99.0,81.4,180.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-18&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-06-11,2026-06-15,4,106.42,79.0,185.42000000000002,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-06-11&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-29,2026-07-03,4,89.0,97.85,186.85,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-29&inboundDate=2026-07-03&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-06-29,2026-07-02,3,89.0,97.85,186.85,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-06-29&inboundDate=2026-07-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Charleroi,Belgia,Warszawa,2026-06-12,2026-06-15,3,123.45,68.09,191.54000000000002,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-06-12&inboundDate=2026-06-15&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-06-01,2026-06-04,3,112.93,79.0,191.93,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-06-01&inboundDate=2026-06-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-16,2026-05-22,6,99.0,97.85,196.85,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-16&inboundDate=2026-05-22&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-18,2026-05-22,4,99.0,97.85,196.85,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-18&inboundDate=2026-05-22&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-16,2026-05-19,3,99.0,97.85,196.85,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-16&inboundDate=2026-05-19&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-05-07,2026-05-11,4,79.0,122.81,201.81,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-05-07&inboundDate=2026-05-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Charleroi,Belgia,Warszawa,2026-06-15,2026-06-22,7,102.16,102.16,204.32,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-06-15&inboundDate=2026-06-22&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-16,2026-05-18,2,99.0,106.07,205.07,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-16&inboundDate=2026-05-18&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Charleroi,Belgia,Warszawa,2026-06-15,2026-06-19,4,102.16,104.0,206.16,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-06-15&inboundDate=2026-06-19&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-05-07,2026-05-14,7,79.0,127.73,206.73000000000002,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-05-07&inboundDate=2026-05-14&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Charleroi,Belgia,Warszawa,2026-06-08,2026-06-14,6,104.0,104.0,208.0,WARS,CRL,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=crl&outboundDate=2026-06-08&inboundDate=2026-06-14&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-14,2026-05-16,2,129.0,81.4,210.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-14&inboundDate=2026-05-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-17,2026-05-23,6,129.0,81.4,210.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-17&inboundDate=2026-05-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-17,2026-05-20,3,129.0,81.4,210.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-17&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
Warszawa,Bukareszt,Rumunia,Warszawa,2026-05-14,2026-05-20,6,129.0,81.4,210.4,WARS,BUCH,WARS,wizzair,wizzair,PLN,RON,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=buch&outboundDate=2026-05-14&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681
